Company,TypeName,Inches,Cpu,Ram,Gpu,Weight,IsFullHD,IsIPS,IsTouchscreen,IsRetina,ResolutionWidth,ResolutionHeight,IsHDD,IsSSD,IsFlashStorage,FlashStorage,MemorySizeHDD_TB,MemorySizeHDD_GB,MemorySizeSSD,CpuSpeed,CpuBrand,GpuBrand,OperatingSystem,Price
4,3,17.3,54,4,30,2.36,0,0,0,0,1600,900,1,0,0,0.0,1.0,0.0,0.0,2.0,1,0,3,35111
0,1,15.6,102,8,75,2.7,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.8,1,3,3,67132
7,3,17.0,14,8,17,2.6,0,0,0,0,1600,900,1,0,0,0.0,1.0,0.0,0.0,3.0,0,0,3,27753
10,3,13.3,97,8,53,1.4,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,2,3,53812
7,3,15.6,8,4,16,1.86,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,0,0,3,21231
0,3,15.6,97,8,72,2.23,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.7,1,3,3,39533
11,1,17.3,103,16,80,4.14,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,512.0,2.9,1,3,3,145401
10,3,15.6,74,4,53,1.9,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.5,1,2,0,26101
4,4,15.6,83,8,7,1.9,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,1.6,1,0,3,35324
7,3,15.6,89,6,21,2.19,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.5,1,0,3,40705
2,1,17.3,102,8,75,3.0,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.8,1,3,3,55357
10,3,15.6,33,4,45,2.1,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,1.6,1,2,3,16943
4,3,15.6,106,16,7,2.2,1,0,0,0,1920,1080,1,1,0,0.0,2.0,0.0,256.0,1.8,1,0,3,64961
11,1,15.6,102,8,75,2.2,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.8,1,3,3,61218
7,0,13.3,91,8,47,1.48,0,0,1,0,2560,1440,0,1,0,0.0,0.0,0.0,256.0,2.6,1,2,3,95850
1,4,13.3,64,8,56,1.37,0,1,0,1,2560,1600,0,1,0,0.0,0.0,0.0,256.0,2.0,1,2,2,75604
1,4,11.6,62,4,51,1.08,0,0,0,0,1366,768,0,0,1,256.0,0.0,0.0,0.0,1.6,1,2,2,51095
7,3,15.6,92,6,89,2.18,1,1,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.6,1,3,3,42570
4,4,13.3,97,16,53,1.2,0,0,1,0,3200,1800,0,1,0,0.0,0.0,0.0,512.0,2.7,1,2,3,142790
11,1,15.6,102,16,76,2.2,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,2.8,1,3,3,69210
4,1,15.6,102,16,76,2.62,0,0,0,0,3840,2160,0,1,0,0.0,0.0,0.0,512.0,2.8,1,3,3,89457
7,3,15.6,59,8,70,2.1,1,1,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.4,1,3,3,38148
11,1,17.3,102,8,76,2.7,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,2.8,1,3,3,63882
10,3,14.0,68,8,47,1.7,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,180.0,2.3,1,2,3,63882
10,4,12.5,97,8,53,1.36,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,2,3,87912
10,3,15.6,83,4,61,1.8,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,1.6,1,2,3,44169
4,0,15.6,106,16,61,2.0,1,0,1,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,1.8,1,2,3,68464
7,3,14.0,97,8,53,1.48,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,2,3,68837
10,3,15.6,68,4,47,2.1,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,2.3,1,2,0,21205
10,3,15.6,59,8,72,2.2,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.4,1,3,0,26586
4,4,12.5,74,8,40,1.36,1,0,1,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3,78438
10,1,15.6,102,8,77,2.4,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.8,1,3,0,46300
7,3,13.3,83,4,61,1.49,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,128.0,1.6,1,2,3,38681
10,1,15.6,102,8,79,2.5,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.8,1,3,3,63349
10,3,15.6,56,4,47,1.85,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,128.0,2.0,1,2,0,21498
0,3,15.6,97,4,72,2.2,1,0,0,0,1920,1080,1,0,0,0.0,0.0,500.0,0.0,2.7,1,3,3,34045
10,2,12.5,88,16,47,1.3,1,1,1,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,2.5,1,2,3,87912
4,3,15.6,74,4,24,2.3,1,0,0,0,1920,1080,1,0,0,0.0,0.0,500.0,0.0,2.5,1,0,3,31168
10,3,15.6,104,16,104,2.5,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,2.9,1,3,3,130482
16,4,13.3,97,16,53,1.05,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,2.7,1,2,3,118601
7,0,13.3,74,8,53,1.28,1,0,1,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3,121318
10,3,15.6,54,4,47,1.9,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.0,1,2,0,18061
2,3,14.0,74,8,53,2.0,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3,50349
10,3,14.0,60,4,53,1.7,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,128.0,2.7,1,2,3,31914
16,4,13.3,68,8,47,1.2,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.3,1,2,3,84715
7,3,14.0,68,8,47,1.43,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.3,1,2,3,80612
10,0,13.3,89,16,47,1.3,0,1,1,0,3200,1800,0,1,0,0.0,0.0,0.0,512.0,2.5,1,2,3,79866
0,3,17.3,83,4,98,3.0,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,1.6,1,3,3,42890
0,3,15.6,39,4,43,2.1,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,2.0,1,2,3,17742
7,5,15.6,92,8,100,2.59,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.6,1,3,3,83170
0,3,14.0,59,8,53,1.5,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,128.0,2.4,1,2,3,32980
4,1,15.6,102,16,76,2.65,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.8,1,3,3,71874
7,3,15.6,56,4,47,1.63,0,0,0,0,1366,768,0,1,0,0.0,0.0,0.0,128.0,2.0,1,2,3,36709
4,1,15.6,77,16,79,3.21,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.5,1,3,3,109277
10,0,13.3,89,16,47,1.3,0,1,1,0,3200,1800,0,1,0,0.0,0.0,0.0,512.0,2.5,1,2,3,79866
7,3,17.3,74,8,69,2.63,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,3,3,57542
2,3,15.6,70,4,86,2.45,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.3,1,3,0,30849
11,1,15.6,92,8,89,2.3,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.6,1,3,3,62284
1,4,13.3,63,8,51,1.34,0,0,0,0,1440,900,0,0,1,128.0,0.0,0.0,0.0,1.8,1,2,2,47895
4,3,15.6,99,8,69,1.93,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.8,1,3,3,72940
10,0,13.3,90,16,56,1.3,0,1,1,0,3200,1800,0,1,0,0.0,0.0,0.0,0.0,2.2,1,2,3,95850
4,3,15.6,99,16,69,1.93,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.8,1,3,3,81912
4,3,15.6,74,8,53,2.36,0,0,1,0,1366,768,1,0,0,0.0,2.0,0.0,0.0,2.5,1,2,3,29696
10,3,15.6,89,8,72,2.2,1,1,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.5,1,3,3,35644
4,3,15.6,74,8,30,2.32,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.5,1,0,1,31409
11,1,17.3,102,16,80,2.43,1,0,0,0,1920,1080,1,1,0,0.0,2.0,0.0,256.0,2.8,1,3,3,130482
7,3,15.6,71,8,47,1.84,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.4,1,2,3,101232
11,1,15.6,92,8,89,2.4,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.6,1,3,3,65481
7,3,15.6,36,4,41,2.1,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,1.6,1,2,3,18488
4,3,14.0,74,8,53,1.6,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3,45767
7,0,13.3,71,8,47,1.48,1,0,1,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.4,1,2,3,86793
7,3,15.6,83,8,70,2.1,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,1.6,1,3,3,46833
10,3,14.0,74,8,53,1.7,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,180.0,2.5,1,2,3,72673
7,4,15.6,97,8,53,1.84,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,2,3,40066
1,4,13.3,66,8,57,1.37,0,1,0,1,2560,1600,0,1,0,0.0,0.0,0.0,512.0,2.9,1,2,2,104370
4,0,17.3,97,16,72,2.77,1,0,1,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,2.7,1,3,3,95850
4,3,15.6,59,6,53,2.3,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.4,1,2,3,24455
10,1,17.3,93,32,93,4.6,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,2.7,1,3,3,172627
4,3,15.6,71,8,47,2.09,1,0,0,0,1920,1080,1,0,0,0.0,0.0,500.0,0.0,2.4,1,2,3,55754
10,3,14.0,37,4,43,2.1,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,1.1,1,2,3,15930
7,3,15.6,75,8,69,2.04,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.7,1,3,3,52161
2,3,13.3,74,8,53,1.4,0,0,0,0,3200,1800,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3,61272
7,3,15.6,97,8,69,2.04,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.7,1,3,3,47952
7,1,17.3,70,8,79,3.35,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.3,1,3,3,60153
6,4,12.3,82,8,52,1.1,0,0,1,0,2400,1600,0,1,0,0.0,0.0,0.0,256.0,1.2,1,2,0,83063
4,5,15.6,114,16,101,2.8,0,0,0,0,3840,2160,1,1,0,0.0,1.0,0.0,256.0,3.0,1,3,3,162770
10,3,15.6,68,8,47,2.3,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.3,1,2,3,71874
1,4,12.0,51,8,52,0.92,0,1,0,1,2304,1440,0,1,0,0.0,0.0,0.0,256.0,1.2,1,2,2,67260
11,1,15.6,102,16,80,2.8,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,2.8,1,3,3,111834
16,3,14.0,68,4,47,1.47,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,128.0,2.3,1,2,3,58874
0,3,15.6,56,4,85,2.2,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,2.0,1,3,3,24988
7,0,14.0,59,4,72,1.63,1,1,1,0,1920,1080,0,1,0,0.0,0.0,0.0,128.0,2.4,1,3,3,37242
7,2,12.5,47,8,46,0.97,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,1.2,1,2,3,101658
10,3,15.6,58,6,66,2.4,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,128.0,2.3,1,3,3,30316
0,3,15.6,14,4,17,2.1,0,0,0,0,1366,768,0,1,0,0.0,0.0,0.0,256.0,3.0,0,0,3,24029
0,0,11.6,40,4,41,1.25,0,1,1,0,1366,768,0,0,1,32.0,0.0,0.0,0.0,1.6,1,2,0,20193
10,3,15.6,37,4,43,1.9,0,0,0,0,1366,768,0,1,0,0.0,0.0,0.0,128.0,1.1,1,2,0,14418
0,4,14.0,83,8,61,1.6,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,1.6,1,2,3,41025
2,1,17.3,102,16,93,4.3,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,2.8,1,3,3,95850
2,0,15.6,74,8,47,2.2,0,0,1,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.5,1,2,3,39373
10,0,13.3,97,8,53,1.37,1,1,1,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,2.7,1,2,3,104961
2,3,15.6,74,8,67,2.0,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,3,3,40972
2,3,15.6,97,8,53,2.0,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,2.7,1,2,3,65214
2,1,17.3,102,8,79,2.7,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,2.8,1,3,3,85194
4,3,17.3,106,8,7,2.8,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,1.8,1,0,1,58554
4,4,13.3,83,8,61,1.21,0,1,1,0,3840,2160,0,1,0,0.0,0.0,0.0,128.0,1.6,1,2,3,85194
10,1,15.6,102,8,75,2.5,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.8,1,3,3,55837
4,4,13.3,106,8,7,1.4,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,1.8,1,0,3,49650
10,1,17.3,93,16,93,4.6,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,3,3,146519
4,4,14.0,83,8,61,1.7,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,1.6,1,2,3,46833
7,3,13.3,106,16,61,1.49,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,1.8,1,2,3,63776
16,4,12.5,97,8,53,1.1,1,0,1,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,2.7,1,2,3,95371
0,3,15.6,74,12,86,2.4,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.5,1,3,3,53759
13,4,13.5,100,8,58,1.25,0,0,1,0,2256,1504,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3,95850
2,1,15.6,102,8,75,2.2,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.8,1,3,3,50562
10,3,14.0,74,8,53,1.9,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3,49976
0,3,17.3,60,4,97,3.0,1,1,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.7,1,3,3,34898
4,3,15.6,74,8,53,2.18,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.5,1,2,3,44542
2,1,17.3,93,32,93,3.58,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,3,3,68145
10,3,15.6,74,8,53,2.3,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,0,30529
0,2,11.6,36,4,41,1.4,0,0,0,0,1366,768,0,1,0,0.0,0.0,0.0,128.0,1.6,1,2,3,23176
2,1,15.6,102,16,80,2.2,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,2.8,1,3,3,130482
